iter	Passed	Remaining
0	2	2206
1	5	2713
2	9	3130
3	12	3199
4	17	3400
5	21	3578
6	25	3609
7	29	3611
8	32	3598
9	36	3569
10	40	3640
11	44	3625
12	46	3545
13	49	3475
14	52	3448
15	56	3473
16	60	3493
17	64	3497
18	67	3488
19	70	3478
20	74	3478
21	77	3459
22	81	3445
23	84	3430
24	87	3423
25	90	3407
26	94	3392
27	97	3370
28	99	3346
29	102	3327
30	105	3302
31	108	3272
32	111	3254
33	113	3229
34	116	3203
35	119	3192
36	122	3184
37	125	3168
38	127	3145
39	130	3124
40	133	3113
41	136	3102
42	139	3094
43	141	3079
44	144	3060
45	147	3052
46	150	3044
47	153	3036
48	156	3038
49	159	3032
50	162	3027
51	165	3015
52	168	3005
53	170	2991
54	173	2985
55	176	2968
56	178	2953
57	180	2939
58	183	2930
59	186	2922
60	189	2919
61	192	2912
62	195	2909
63	198	2902
64	201	2894
65	204	2892
66	207	2882
67	209	2867
68	212	2861
69	214	2850
70	217	2842
71	219	2832
72	222	2823
73	225	2816
74	227	2805
75	229	2796
76	232	2786
77	234	2776
78	237	2763
79	239	2751
80	241	2737
81	243	2725
82	245	2715
83	247	2701
84	249	2688
85	251	2677
86	253	2663
87	255	2647
88	257	2634
89	259	2620
90	260	2606
91	263	2595
92	265	2591
93	268	2583
94	269	2569
95	271	2556
96	273	2544
97	275	2531
98	276	2516
99	278	2502
100	279	2486
101	280	2473
102	282	2458
103	283	2444
104	285	2431
105	286	2418
106	288	2405
107	289	2391
108	290	2378
109	292	2365
110	293	2354
111	295	2342
112	297	2331
113	298	2320
114	300	2309
115	301	2299
116	303	2289
117	304	2278
118	306	2269
119	307	2258
120	309	2247
121	311	2238
122	312	2230
123	314	2221
124	315	2210
125	317	2201
126	318	2191
127	320	2182
128	322	2175
129	323	2165
130	325	2157
131	327	2150
132	328	2143
133	330	2136
134	332	2130
135	334	2123
136	336	2116
137	337	2109
138	339	2103
139	341	2096
140	343	2089
141	344	2084
142	347	2079
143	348	2073
144	350	2068
145	352	2061
146	354	2055
147	355	2048
148	357	2041
149	359	2036
150	361	2030
151	363	2026
152	365	2020
153	366	2014
154	368	2008
155	370	2001
156	371	1995
157	373	1987
158	374	1981
159	376	1975
160	377	1968
161	379	1962
162	381	1957
163	382	1951
164	384	1945
165	386	1940
166	387	1934
167	389	1928
168	391	1922
169	392	1917
170	394	1912
171	396	1906
172	397	1901
173	399	1897
174	401	1892
175	403	1888
176	405	1885
177	407	1882
178	409	1878
179	411	1874
180	413	1871
181	415	1867
182	417	1864
183	419	1861
184	421	1858
185	424	1855
186	426	1854
187	428	1851
188	431	1849
189	432	1845
190	434	1842
191	436	1838
192	439	1835
193	441	1832
194	443	1829
195	445	1825
196	446	1821
197	449	1818
198	451	1817
199	453	1814
200	455	1811
201	457	1808
202	459	1805
203	462	1803
204	464	1800
205	466	1797
206	468	1794
207	470	1791
208	472	1788
209	474	1786
210	476	1783
211	478	1780
212	480	1776
213	482	1771
214	484	1768
215	486	1764
216	488	1761
217	489	1757
218	491	1753
219	493	1750
220	495	1747
221	497	1743
222	499	1740
223	501	1736
224	503	1732
225	504	1729
226	506	1725
227	508	1721
228	510	1717
229	511	1713
230	513	1709
231	515	1704
232	516	1701
233	518	1697
234	520	1692
235	521	1689
236	523	1685
237	525	1683
238	527	1679
239	528	1674
240	530	1670
241	532	1666
242	533	1662
243	535	1658
244	537	1654
245	538	1651
246	540	1646
247	541	1642
248	543	1638
249	544	1633
250	546	1629
251	547	1626
252	549	1622
253	551	1618
254	552	1615
255	554	1611
256	556	1608
257	558	1605
258	560	1602
259	561	1599
260	563	1595
261	565	1592
262	567	1589
263	569	1586
264	570	1582
265	572	1580
266	574	1578
267	576	1575
268	578	1572
269	580	1569
270	582	1566
271	584	1563
272	586	1560
273	587	1557
274	589	1553
275	590	1549
276	592	1546
277	594	1543
278	595	1539
279	597	1536
280	598	1532
281	600	1528
282	602	1525
283	604	1522
284	606	1520
285	607	1517
286	609	1515
287	611	1511
288	613	1508
289	615	1505
290	616	1503
291	618	1500
292	620	1497
293	622	1495
294	624	1492
295	626	1489
296	628	1486
297	630	1484
298	632	1481
299	633	1479
300	635	1475
301	637	1472
302	638	1469
303	640	1466
304	642	1463
305	644	1461
306	646	1458
307	647	1455
308	649	1452
309	651	1450
310	653	1447
311	655	1446
312	658	1444
313	660	1442
314	662	1439
315	663	1436
316	665	1434
317	667	1431
318	669	1428
319	670	1424
320	672	1421
321	673	1418
322	675	1415
323	676	1412
324	678	1408
325	679	1405
326	681	1403
327	683	1400
328	685	1398
329	687	1395
330	689	1393
331	691	1391
332	693	1388
333	695	1385
334	696	1383
335	698	1381
336	700	1378
337	702	1375
338	703	1372
339	705	1369
340	707	1366
341	708	1363
342	710	1361
343	712	1358
344	713	1355
345	715	1352
346	717	1349
347	718	1346
348	720	1343
349	721	1340
350	722	1336
351	724	1333
352	725	1330
353	727	1327
354	728	1324
355	730	1321
356	731	1317
357	733	1314
358	734	1311
359	735	1308
360	737	1305
361	739	1302
362	740	1299
363	742	1296
364	743	1294
365	745	1291
366	747	1288
367	748	1285
368	750	1283
369	751	1280
370	753	1277
371	755	1274
372	756	1271
373	758	1269
374	760	1267
375	761	1264
376	763	1262
377	765	1259
378	767	1257
379	769	1255
380	771	1253
381	773	1251
382	775	1249
383	777	1247
384	779	1245
385	781	1243
386	783	1241
387	785	1238
388	787	1236
389	789	1234
390	791	1232
391	792	1229
392	794	1226
393	796	1224
394	797	1221
395	799	1219
396	801	1216
397	802	1214
398	804	1212
399	806	1209
400	808	1207
401	809	1204
402	811	1202
403	814	1200
404	816	1199
405	818	1196
406	819	1194
407	821	1192
408	823	1190
409	825	1187
410	827	1185
411	829	1183
412	830	1181
413	832	1178
414	834	1176
415	836	1174
416	838	1171
417	840	1169
418	841	1167
419	843	1164
420	845	1162
421	846	1159
422	848	1157
423	849	1154
424	851	1151
425	852	1149
426	854	1147
427	856	1145
428	859	1143
429	860	1141
430	862	1138
431	864	1137
432	866	1135
433	868	1132
434	870	1130
435	872	1128
436	874	1126
437	876	1124
438	878	1122
439	880	1120
440	881	1117
441	883	1115
442	885	1113
443	887	1111
444	889	1109
445	891	1106
446	892	1104
447	894	1102
448	896	1100
449	898	1097
450	899	1095
451	901	1092
452	902	1090
453	904	1087
454	905	1084
455	907	1082
456	908	1079
457	910	1076
458	911	1074
459	912	1071
460	914	1069
461	915	1066
462	917	1063
463	918	1060
464	919	1058
465	921	1055
466	922	1052
467	923	1050
468	925	1047
469	926	1044
470	927	1041
471	929	1039
472	930	1036
473	931	1033
474	933	1031
475	934	1028
476	935	1026
477	937	1023
478	938	1020
479	939	1018
480	941	1015
481	942	1012
482	943	1010
483	945	1007
484	946	1004
485	947	1002
486	949	999
487	950	997
488	952	994
489	953	992
490	954	989
491	956	987
492	957	984
493	958	982
494	960	979
495	961	977
496	963	974
497	964	972
498	966	970
499	967	967
500	969	965
501	970	962
502	971	960
503	973	957
504	974	955
505	975	952
506	977	950
507	978	947
508	980	945
509	981	943
510	983	940
511	984	938
512	986	936
513	987	933
514	988	931
515	990	928
516	991	926
517	993	924
518	994	921
519	996	919
520	997	917
521	999	914
522	1000	912
523	1001	910
524	1003	907
525	1005	905
526	1006	903
527	1008	901
